2020-11-12 15:36:18,156 [INFOR] MainProcess(5192):MainThread(13072) | main.InfoScan:28 - 当前域名:ichunqiu.com
2020-11-12 15:36:18,157 [INFOR] MainProcess(5192):MainThread(13072) | crt.run:10 - [*]正在通过crt查询域名[*]
2020-11-12 15:36:20,422 [INFOR] MainProcess(5192):MainThread(13072) | common.print_try:77 - crt查询完成,共7个域名
2020-11-12 15:36:20,424 [INFOR] MainProcess(5192):MainThread(13072) | yumingco.run:10 - [*]正在通过yumingco查询域名[*]
2020-11-12 15:36:20,691 [INFOR] MainProcess(5192):MainThread(13072) | common.print_try:77 - yumingco查询完成,共28个域名
2020-11-12 15:36:20,692 [INFOR] MainProcess(5192):MainThread(13072) | ip138.run:10 - [*]正在通过ip138查询域名[*]
2020-11-12 15:36:20,852 [INFOR] MainProcess(5192):MainThread(13072) | common.print_try:77 - ip138查询完成,共56个域名
2020-11-12 15:36:20,853 [INFOR] MainProcess(5192):MainThread(13072) | hackertarget.run:9 - [*]正在通过hackertarget查询域名[*]
2020-11-12 15:36:40,889 [INFOR] MainProcess(5192):MainThread(13072) | virusTotal.run:10 - [*]正在通过virusTotal查询域名[*]
2020-11-12 15:36:42,267 [INFOR] MainProcess(5192):MainThread(13072) | common.print_try:77 - virusTotal查询完成,共42个域名
2020-11-12 15:36:42,268 [INFOR] MainProcess(5192):MainThread(13072) | cesuyun.run:9 - [*]正在通过cesuyun查询域名[*]
2020-11-12 15:36:42,418 [INFOR] MainProcess(5192):MainThread(13072) | common.print_try:77 - cesuyun查询完成,共29个域名
2020-11-12 15:36:42,433 [INFOR] MainProcess(5192):MainThread(13072) | common.Baocun:177 - 数据库ichunqiu_com创建成功
2020-11-12 15:38:37,477 [INFOR] MainProcess(15272):MainThread(12872) | main.InfoScan:28 - 当前域名:ichunqiu.com
2020-11-12 15:38:37,478 [INFOR] MainProcess(15272):MainThread(12872) | crt.run:10 - [*]正在通过crt查询域名[*]
2020-11-12 15:38:39,240 [INFOR] MainProcess(15272):MainThread(12872) | common.print_try:77 - crt查询完成,共7个域名
2020-11-12 15:38:39,242 [INFOR] MainProcess(15272):MainThread(12872) | yumingco.run:10 - [*]正在通过yumingco查询域名[*]
2020-11-12 15:38:59,323 [INFOR] MainProcess(15272):MainThread(12872) | ip138.run:10 - [*]正在通过ip138查询域名[*]
2020-11-12 15:38:59,538 [INFOR] MainProcess(15272):MainThread(12872) | common.print_try:77 - ip138查询完成,共56个域名
2020-11-12 15:38:59,539 [INFOR] MainProcess(15272):MainThread(12872) | hackertarget.run:9 - [*]正在通过hackertarget查询域名[*]
2020-11-12 15:39:19,574 [INFOR] MainProcess(15272):MainThread(12872) | virusTotal.run:10 - [*]正在通过virusTotal查询域名[*]
2020-11-12 15:39:20,729 [INFOR] MainProcess(15272):MainThread(12872) | common.print_try:77 - virusTotal查询完成,共42个域名
2020-11-12 15:39:20,731 [INFOR] MainProcess(15272):MainThread(12872) | cesuyun.run:9 - [*]正在通过cesuyun查询域名[*]
2020-11-12 15:39:24,185 [INFOR] MainProcess(15272):MainThread(12872) | common.print_try:77 - cesuyun查询完成,共29个域名
2020-11-12 15:39:24,196 [INFOR] MainProcess(15272):MainThread(12872) | common.Baocun:177 - 数据库ichunqiu_com创建成功
2020-11-12 15:39:24,270 [INFOR] MainProcess(15272):MainThread(12872) | common.Baocun:189 - 子域名写入ichunqiu_com数据库成功
2020-11-12 15:39:24,271 [INFOR] MainProcess(15272):MainThread(12872) | common.print_try:77 - 共收集107个子域名

2020-11-12 15:39:24,272 [INFOR] MainProcess(15272):MainThread(12872) | cunhuo.run:19 - 开始进行url存活探测!
2020-11-12 15:39:24,273 [INFOR] MainProcess(15272):MainThread(12872) | cunhuo.run:20 - 请等待
2020-11-12 15:39:38,892 [INFOR] MainProcess(15272):MainThread(12872) | common.print_try:77 - 存活探测完成,发现30个存活URL
2020-11-12 15:39:38,935 [INFOR] MainProcess(15272):MainThread(12872) | common.Baocun_Cunhuo_url:212 - 存活url写入ichunqiu_com数据库成功

2020-11-12 15:39:38,938 [INFOR] MainProcess(15272):MainThread(12872) | jsfinder.run:21 - 开始进行爬取url链接!
2020-11-12 15:39:38,952 [INFOR] MainProcess(15272):Thread-21 (1492 ) | jsfinder.run:268 - 当前url:http://2d712f16234f403299e193582fe172477947a8e4ce55411e.changame.ichunqiu.com/
2020-11-12 15:39:38,953 [INFOR] MainProcess(15272):Thread-22 (14700) | jsfinder.run:268 - 当前url:http://edd99ee0f2f44d9a950c0256b8868b201af18ac3e6714ed2.changame.ichunqiu.com/
2020-11-12 15:39:38,956 [INFOR] MainProcess(15272):Thread-23 (16492) | jsfinder.run:268 - 当前url:http://ff679587643e4c6b8f4f2ac48e287ee01506a630fea74630.cloudgame2.ichunqiu.com/
2020-11-12 15:39:38,965 [INFOR] MainProcess(15272):Thread-24 (6080 ) | jsfinder.run:268 - 当前url:http://eb2cab8a9d584a169830b469a2207f4a96ef112ee0204c97.changame.ichunqiu.com/
2020-11-12 15:39:38,971 [INFOR] MainProcess(15272):Thread-25 (16488) | jsfinder.run:268 - 当前url:http://3abe54d86f68481282d88720fe792965bdec88a7e0924ddf.cloudgame2.ichunqiu.com/
2020-11-12 15:39:38,975 [INFOR] MainProcess(15272):Thread-26 (7032 ) | jsfinder.run:268 - 当前url:http://2918866da7c04c59aa8b929f50091297c25bc6bd7ed74b4f.cloudgame2.ichunqiu.com/
